cpu_cores,cpu_frequency,gpu_memory,disk_capacity,network_speed,processes,cpu_temperature,gpu_temperature,disk_temperature,network_bandwidth,network_latency,process_memory_usage,process_cpu_usage,cpu_power_usage,gpu_power_usage,disk_power_usage,network_power_usage
8,2.55,21.17,10000.0,57.521,654,61.04,63.34,21.64,537.76,57.89,220,70,291.46,266.16,8.59,5.32
64,4.1,18.9,10000.0,72.929,1396,69.85,56.07,22.03,537.66,88.21,315,69,251.02,267.08,7.14,7.99
43,3.64,22.57,10000.0,61.567,3360,62.32,58.91,21.49,107.99,9.49,597,46,274.48,337.2,7.68,6.57
42,2.63,25.96,10000.0,56.289,4292,73.66,69.45,23.99,315.46,48.08,691,54,280.76,313.15,2.6,1.37
12,2.47,21.11,10000.0,42.953,7109,69.9,69.7,22.0,339.63,77.51,863,46,286.43,292.65,5.29,3.79
60,3.41,22.24,10000.0,47.78,9333,59.35,57.99,23.17,764.23,97.63,628,48,286.94,334.12,4.8,4.67
15,4.22,19.83,10000.0,57.614,6155,62.58,56.21,20.89,854.25,11.67,960,51,259.24,268.0,5.09,2.29
13,2.66,20.99,10000.0,59.319,8231,55.21,71.56,23.57,344.85,52.86,388,46,297.9,336.73,7.85,9.3
8,1.64,17.93,10000.0,58.423,3217,71.88,70.8,22.72,220.91,74.61,587,61,277.8,256.67,4.57,1.92
37,3.37,16.43,10000.0,63.979,4668,68.82,67.38,22.19,584.28,87.38,215,47,271.73,347.32,6.56,3.2
27,3.43,19.21,10000.0,56.087,3473,75.38,57.55,24.63,245.58,68.36,220,52,276.34,295.54,8.12,3.0
52,3.21,21.05,10000.0,51.948,8082,76.68,61.96,20.33,315.08,40.7,193,47,272.39,329.33,7.99,9.21
20,3.29,20.74,10000.0,63.392,4994,55.35,71.81,22.57,913.89,38.44,141,40,275.93,283.28,4.94,9.67
34,2.74,16.89,10000.0,44.282,2583,75.45,65.47,22.91,766.35,90.9,805,46,264.99,316.41,4.46,2.73
11,3.3,15.81,10000.0,50.811,6188,63.72,58.14,23.97,517.73,61.52,641,44,251.5,336.85,5.29,2.88
21,2.31,18.85,10000.0,53.138,2277,76.74,59.7,20.29,764.01,61.47,280,38,265.31,312.04,5.65,7.82
36,0.96,24.42,10000.0,73.328,7628,57.39,65.47,23.56,243.86,95.94,700,40,272.92,272.46,6.49,6.99
7,3.61,15.51,10000.0,49.588,8131,72.93,71.83,24.55,548.43,61.05,518,48,285.11,339.11,5.9,2.05
17,3.42,18.28,10000.0,52.473,7238,72.94,59.33,24.87,92.55,24.34,859,48,254.25,323.24,9.66,9.38
19,1.25,21.08,10000.0,48.473,7217,56.98,55.41,21.15,106.58,93.95,985,38,288.18,333.0,6.33,8.82
12,2.1,21.42,10000.0,57.582,3208,66.1,56.95,20.67,299.54,40.64,626,61,263.88,309.72,1.15,4.03
52,2.85,16.96,10000.0,74.035,2079,75.07,69.02,21.31,332.13,49.55,826,56,285.43,348.29,9.25,8.14
3,1.11,20.73,10000.0,63.889,9149,67.55,64.45,24.13,521.98,38.79,725,54,256.33,259.31,9.74,9.82
24,3.49,14.75,10000.0,41.751,5122,67.77,69.37,22.29,610.2,71.27,798,50,277.59,342.87,6.51,3.36
59,3.16,18.9,10000.0,52.51,977,77.22,63.17,21.43,653.57,75.11,524,38,285.29,327.95,6.93,6.35
23,4.04,17.7,10000.0,54.814,8344,59.1,55.24,24.13,494.05,65.52,942,45,259.3,322.58,1.55,5.39
28,4.6,20.19,10000.0,52.943,217,62.4,70.2,24.05,721.88,28.83,563,49,274.35,288.13,4.47,4.14
17,2.25,17.31,10000.0,79.477,19,66.45,60.53,22.37,610.24,89.31,757,65,254.7,292.81,5.46,1.65
55,1.73,20.59,10000.0,60.323,6919,65.63,58.98,21.78,420.64,70.47,598,35,282.14,327.33,3.11,1.83
54,3.23,24.66,10000.0,54.409,4979,64.82,71.15,22.62,581.74,9.55,950,68,287.61,306.82,5.17,5.3
33,1.6,18.34,10000.0,65.423,9468,64.72,58.08,23.98,788.56,99.66,936,36,282.03,261.45,8.32,7.96
25,0.92,14.54,10000.0,77.795,8052,55.45,64.1,21.91,300.18,19.65,377,42,287.99,315.61,5.63,3.4
9,0.11,18.89,10000.0,63.057,2311,71.81,64.58,24.04,651.21,72.64,992,39,268.2,299.55,6.93,6.76
32,1.7,22.82,10000.0,59.234,1260,70.22,59.57,22.23,108.73,34.88,790,38,257.28,313.93,2.72,2.48
18,4.85,19.28,10000.0,62.49,9220,57.56,68.96,20.56,53.79,80.02,247,35,282.96,314.44,8.76,2.12
23,1.97,24.8,10000.0,37.614,3710,73.56,64.88,24.46,413.84,85.89,473,46,274.27,297.29,5.68,8.59
7,0.97,15.41,10000.0,35.834,7038,71.44,62.66,23.18,461.69,45.55,433,43,294.09,261.1,5.25,4.95
48,1.67,22.31,10000.0,54.372,3044,58.03,55.27,21.5,674.5,26.01,926,49,288.88,335.35,4.16,9.78
64,3.95,19.25,10000.0,53.621,2720,69.38,56.68,23.59,175.62,51.57,256,48,254.49,332.18,1.15,3.58
22,2.06,18.75,10000.0,35.329,7634,74.98,61.82,21.27,949.65,32.81,539,55,267.46,343.64,7.83,1.62
39,1.69,24.31,10000.0,49.453,140,68.35,68.37,21.12,743.06,58.12,513,51,278.83,258.46,5.14,6.44
21,4.66,17.1,10000.0,49.618,9594,75.89,67.5,23.48,391.14,78.72,379,62,265.68,288.09,8.37,7.55
10,2.2,16.9,10000.0,69.815,188,57.52,66.43,21.31,377.45,96.87,598,62,272.45,315.24,9.97,6.15
2,3.25,30.35,10000.0,48.294,9974,61.37,60.08,21.53,457.47,12.82,853,69,283.52,273.9,2.65,8.28
21,4.3,19.53,10000.0,71.729,2930,71.45,68.72,21.0,312.06,84.05,707,59,256.65,300.43,9.78,7.82
19,4.04,19.6,10000.0,66.626,8045,68.86,64.73,21.13,614.52,46.01,924,36,256.35,326.37,7.46,4.62
24,3.68,15.02,10000.0,69.526,8845,76.83,66.66,23.02,568.08,51.78,628,38,295.2,338.61,6.2,2.87
20,2.87,22.51,10000.0,56.465,1283,77.68,61.92,24.64,116.07,58.32,905,36,296.01,257.29,3.71,7.74
39,4.32,13.95,10000.0,52.979,7653,57.37,55.35,22.58,813.08,94.95,958,56,284.69,302.86,4.36,4.44
54,1.72,14.74,10000.0,63.303,1968,62.46,58.07,20.72,838.34,49.25,809,59,265.13,346.23,8.4,1.82
11,1.09,21.67,10000.0,45.566,4152,66.69,69.68,24.8,868.63,33.26,671,45,257.11,334.71,1.78,1.98
1,3.98,19.39,10000.0,31.148,7258,68.09,55.47,22.9,895.49,49.11,887,40,270.97,296.28,2.05,5.6
35,2.32,20.14,10000.0,59.949,3190,56.66,62.96,24.23,481.44,7.59,565,42,276.22,325.14,4.3,7.06
29,1.79,23.99,10000.0,59.538,4489,56.02,61.43,22.59,873.84,72.86,799,44,295.15,339.38,5.71,1.17
57,2.08,20.64,10000.0,74.468,7802,70.93,71.63,24.75,477.39,14.53,933,47,281.75,282.85,5.64,6.6
48,2.31,20.84,10000.0,63.669,329,67.64,68.58,23.49,8.22,33.35,186,57,253.18,254.92,5.86,1.17
12,3.46,20.83,10000.0,50.157,124,75.97,59.16,23.24,690.76,37.91,176,52,277.54,264.97,8.62,4.89
53,4.11,17.01,10000.0,54.168,5967,75.65,67.88,23.93,119.02,54.85,415,43,260.48,300.67,1.79,7.43
39,3.14,20.8,10000.0,53.62,3206,59.53,69.11,20.95,93.99,44.59,382,35,251.12,265.01,6.42,6.85
3,3.28,22.42,10000.0,62.292,4532,57.36,68.03,24.81,15.52,43.95,526,46,259.54,255.76,7.1,8.0
44,4.13,22.21,10000.0,47.857,6192,77.92,67.9,23.9,424.27,43.37,991,40,279.5,275.9,4.63,3.34
48,4.15,19.24,10000.0,51.286,7752,55.95,59.83,20.08,434.73,1.38,247,68,285.53,250.57,7.96,3.52
8,3.39,20.88,10000.0,64.919,6061,62.37,56.04,21.85,440.63,37.42,195,63,276.91,345.63,6.94,3.97
37,2.46,24.4,10000.0,55.343,3029,56.77,71.93,24.18,389.93,88.22,221,51,254.14,261.66,8.14,2.98
40,2.93,28.26,10000.0,64.473,8359,62.36,62.81,20.01,691.73,33.37,272,59,294.75,324.85,1.34,4.87
30,2.28,27.57,10000.0,51.355,3476,55.65,65.11,24.11,406.98,75.07,121,50,277.88,260.53,7.69,5.07
2,2.04,16.81,10000.0,60.357,801,55.24,55.66,22.66,21.46,36.93,664,51,252.23,296.56,2.62,9.57
2,3.18,14.63,10000.0,58.657,3167,77.65,68.39,21.71,148.21,35.93,845,62,270.94,309.74,1.07,1.55
23,1.29,13.94,10000.0,57.022,1660,75.1,58.39,21.43,916.73,50.88,275,46,256.65,341.51,9.84,7.62
52,3.2,21.82,10000.0,48.762,6844,62.41,65.58,24.37,932.3,51.66,977,67,253.53,333.84,6.08,9.2
45,1.31,14.07,10000.0,61.884,1033,74.86,64.25,23.15,585.41,29.92,748,63,280.1,312.81,6.11,5.17
28,3.29,15.7,10000.0,46.138,1618,68.32,67.03,23.22,124.92,3.23,404,57,290.46,323.85,8.26,6.83
60,2.56,21.14,10000.0,52.059,3663,76.96,55.34,21.38,816.93,87.11,111,65,270.79,290.85,3.59,5.22
9,2.87,21.46,10000.0,64.41,822,56.66,59.51,24.65,298.22,42.6,544,37,270.86,281.2,6.03,9.15
36,1.2,22.53,10000.0,46.107,6861,67.77,60.12,22.23,334.88,42.98,747,57,274.77,289.24,8.85,5.21
58,3.04,8.13,10000.0,59.834,5582,70.35,58.42,24.57,976.57,7.03,382,41,269.72,340.26,5.73,1.87
35,1.78,21.82,10000.0,60.385,6322,64.36,63.35,20.05,840.38,74.17,849,42,282.84,254.51,5.85,5.73
60,1.04,27.23,10000.0,59.508,8920,71.07,70.55,21.73,968.13,44.9,160,64,272.0,253.12,7.84,1.06
25,2.03,22.07,10000.0,83.006,3688,67.19,61.69,22.24,47.12,52.27,583,43,280.72,285.23,3.96,2.96
43,2.17,23.52,10000.0,42.171,1796,55.95,55.49,24.58,982.95,59.56,869,36,271.02,258.27,7.64,4.25
57,2.59,23.19,10000.0,64.003,8777,68.72,60.2,21.65,431.19,15.94,957,47,298.7,314.17,9.17,8.27
45,0.29,22.52,10000.0,44.351,9887,59.73,58.38,21.07,57.2,23.51,265,68,282.84,258.32,3.36,1.56
43,1.83,21.15,10000.0,56.55,7544,77.97,68.65,21.51,491.35,77.13,522,39,279.97,269.71,1.21,4.62
53,2.22,15.8,10000.0,49.271,3183,56.2,59.44,24.19,499.11,58.53,159,48,261.58,271.31,2.15,1.85
11,1.35,17.4,10000.0,64.144,5646,77.2,68.41,24.56,987.86,34.58,502,48,257.33,296.32,2.45,3.13
14,3.82,24.85,10000.0,72.212,2555,74.3,69.38,24.01,512.77,2.03,726,57,287.99,285.94,3.43,1.86
12,1.7,16.66,10000.0,61.373,3742,64.47,60.3,23.49,147.73,19.48,889,58,296.54,252.3,7.67,3.17
45,3.79,22.86,10000.0,56.524,6606,70.8,68.09,21.49,986.54,62.17,587,41,269.9,334.81,4.44,2.0
52,3.09,20.58,10000.0,62.491,1454,62.64,57.38,21.09,255.55,30.31,525,41,288.52,327.28,5.08,5.19
12,3.08,19.39,10000.0,56.452,4052,67.63,61.06,22.9,244.96,49.39,270,55,259.37,329.45,1.1,9.78
41,2.96,16.09,10000.0,60.933,1731,77.75,60.43,22.56,644.16,99.73,352,69,250.06,268.98,3.82,4.84
23,3.12,21.77,10000.0,66.202,4031,57.94,58.03,24.65,529.11,70.43,901,51,256.86,283.21,6.13,3.41
33,1.16,22.44,10000.0,45.138,6968,67.36,63.84,20.08,810.85,35.51,149,62,260.45,278.6,9.06,8.14
31,1.73,20.7,10000.0,61.177,3886,72.74,57.74,21.35,390.59,47.34,788,40,270.62,315.37,8.57,7.58
2,2.28,25.86,10000.0,56.858,5726,75.64,66.37,24.42,562.9,22.9,413,66,273.41,327.82,3.98,2.29
3,2.4,24.0,10000.0,58.13,9407,68.5,66.75,23.02,476.46,21.43,667,67,287.47,336.83,9.3,3.81
31,3.5,19.51,10000.0,57.015,8133,55.58,64.15,20.24,511.93,3.16,622,41,254.93,266.62,2.7,5.66
33,2.44,24.36,10000.0,71.845,2718,61.35,57.15,22.41,822.61,67.56,239,38,277.94,334.07,2.49,9.75
2,0.76,20.61,10000.0,52.379,2129,68.2,63.02,24.36,585.67,92.67,299,50,253.03,250.07,4.74,1.07
45,2.48,17.41,10000.0,49.112,3900,60.64,57.58,22.26,105.1,19.28,670,46,274.87,274.96,1.49,4.83
24,4.16,15.87,10000.0,62.268,6717,62.64,57.04,22.05,303.31,97.18,903,43,250.85,342.5,6.73,5.08
30,1.4,8.14,10000.0,56.255,5293,55.01,57.13,22.16,473.7,46.18,351,69,255.59,334.77,7.16,5.08
56,1.93,19.62,10000.0,51.193,2655,66.37,62.32,20.74,321.79,74.99,136,40,275.59,295.52,7.08,2.13
35,2.37,22.44,10000.0,54.481,8077,63.28,68.2,22.89,443.45,17.64,779,36,296.96,314.05,4.81,6.05
50,3.4,18.04,10000.0,60.225,3901,72.71,69.55,24.11,511.15,57.8,466,47,276.99,268.41,8.26,7.43
53,2.82,18.4,10000.0,62.575,1754,63.49,59.33,24.67,462.86,13.51,297,56,260.81,258.34,4.46,2.01
47,1.78,20.49,10000.0,69.362,1834,77.26,59.64,22.65,575.75,88.77,542,52,271.99,314.52,1.02,8.93
7,1.96,19.04,10000.0,59.201,9152,60.45,58.47,21.01,644.68,69.24,403,35,291.68,321.25,5.56,5.65
21,0.64,25.28,10000.0,45.796,8210,55.31,60.33,21.4,746.31,74.47,969,66,261.09,298.5,8.91,6.96
43,2.28,20.29,10000.0,41.274,2981,69.35,55.61,22.32,689.34,38.87,311,53,261.64,321.56,8.23,1.92
43,1.55,21.5,10000.0,63.199,1127,66.1,56.0,21.41,472.06,97.0,389,62,254.54,318.22,6.69,8.33
31,3.08,18.73,10000.0,79.338,8245,71.65,69.37,20.79,213.92,48.37,803,57,266.77,324.59,3.48,6.84
26,3.78,22.71,10000.0,49.854,7600,77.05,58.03,23.87,90.91,87.35,245,48,254.05,303.04,2.01,8.95
44,1.28,24.24,10000.0,58.064,6393,63.77,70.89,23.91,612.3,40.11,331,64,253.79,333.89,5.33,6.79
19,2.64,13.93,10000.0,67.575,1292,71.49,59.28,21.91,873.58,53.44,915,51,279.71,336.78,1.89,9.32
17,1.59,29.7,10000.0,54.679,7924,60.24,57.05,21.77,276.91,24.2,551,41,262.87,296.95,9.09,1.74
41,1.95,26.4,10000.0,50.93,6786,64.47,63.51,22.52,508.37,68.14,182,53,299.22,301.12,3.45,8.73
36,1.9,22.82,10000.0,49.601,8293,74.1,60.98,22.32,648.81,48.41,150,52,289.19,311.09,9.24,2.11
52,5.93,14.0,10000.0,48.645,3478,64.75,58.13,24.87,302.95,88.85,873,63,287.21,341.26,9.02,6.81
25,2.35,28.94,10000.0,67.257,8353,73.7,55.28,22.42,297.76,48.84,445,70,288.1,286.24,4.02,8.7
49,3.36,18.53,10000.0,49.029,2272,77.99,69.04,20.5,332.72,57.45,945,35,256.39,279.89,3.03,9.51
14,1.38,19.52,10000.0,43.991,3974,62.31,55.67,24.63,978.43,13.99,450,63,273.37,334.65,1.16,6.43
41,1.8,17.44,10000.0,47.04,7278,60.27,71.88,20.4,747.17,32.08,275,60,265.04,305.61,1.5,6.6
28,2.42,14.0,10000.0,68.764,6072,65.85,56.64,22.86,234.78,28.8,904,43,260.86,343.13,6.77,7.12
22,0.72,16.94,10000.0,72.67,5275,57.56,63.69,21.71,278.28,58.32,359,59,291.4,309.81,5.34,2.81
60,3.65,17.6,10000.0,55.852,8547,70.56,58.99,20.69,697.9,18.37,855,61,266.89,258.91,6.68,9.08
48,2.31,17.6,10000.0,53.081,6959,71.97,62.94,21.75,640.62,82.46,583,55,283.25,256.83,3.52,8.71
58,2.24,9.57,10000.0,51.26,5149,70.13,56.6,21.76,495.28,52.02,897,63,258.13,302.88,4.03,5.42
27,3.75,16.85,10000.0,60.623,1658,64.29,56.56,23.79,465.05,18.91,725,70,253.07,303.7,9.96,3.97
36,1.31,15.14,10000.0,57.769,1142,76.83,71.44,21.65,17.07,48.45,727,53,268.32,337.16,4.94,8.64
6,3.26,24.38,10000.0,39.128,3478,67.94,65.61,21.33,737.07,22.72,608,36,252.04,260.14,2.77,9.32
11,2.57,15.14,10000.0,42.019,7939,72.58,68.51,23.66,931.68,64.85,983,37,274.11,262.33,7.37,4.24
24,2.08,20.89,10000.0,51.686,1737,66.03,60.34,24.77,406.69,22.44,126,52,285.74,276.33,6.05,4.25
44,0.41,17.37,10000.0,55.34,3218,67.11,60.69,21.47,334.87,11.92,354,50,299.72,315.96,9.2,9.61
50,3.27,13.33,10000.0,44.5,9901,68.52,67.72,21.29,989.99,35.38,436,60,261.51,313.98,9.0,8.39
41,1.11,20.93,10000.0,53.933,9011,63.36,57.63,21.13,95.44,54.26,977,69,261.99,287.58,2.8,3.25
37,2.64,21.3,10000.0,61.329,7164,70.27,69.54,23.56,247.68,73.1,943,54,274.59,272.13,4.45,8.57
41,0.64,15.53,10000.0,70.519,891,69.66,60.36,23.07,597.82,62.21,204,39,269.53,327.41,4.62,8.47
10,1.91,22.42,10000.0,55.014,6304,55.48,62.73,23.43,390.64,2.74,595,53,250.67,319.65,9.95,8.91
7,2.2,21.01,10000.0,61.138,7460,68.69,59.87,20.27,324.68,67.98,667,67,264.73,304.94,1.23,6.83
50,2.49,20.02,10000.0,52.349,2032,63.78,59.8,22.34,834.79,30.32,569,42,290.27,316.73,7.55,5.62
37,2.87,17.16,10000.0,64.346,1334,59.34,66.28,22.22,362.35,10.08,548,54,275.56,319.37,9.36,1.92
60,2.14,13.98,10000.0,56.179,1055,68.68,60.28,22.34,959.6,14.55,572,35,271.68,327.34,5.8,8.1
60,2.05,21.44,10000.0,63.766,2030,57.04,71.71,24.46,985.55,13.07,696,57,256.37,345.15,8.91,6.54
14,4.17,17.3,10000.0,63.721,5847,74.31,66.26,21.89,948.39,53.39,973,53,263.55,289.72,6.11,4.06
